area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",1381430,"54,890"
99,U.S.,1,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",632760,"55,860"
99,U.S.,1,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",962820,"57,200"
99,U.S.,1,000001,"Cross-industry, private ownership only",252021,"Elementary School Teachers, Except Special Education",149190,"44,460"
99,U.S.,1,000001,"Cross-industry, private ownership only",252022,"Middle School Teachers, Except Special and Career/Technical Education",69040,"47,820"
99,U.S.,1,000001,"Cross-industry, private ownership only",252031,"Secondary School Teachers, Except Special and Career/Technical Education",115300,"50,450"
99,U.S.,1,54,"Professional, Scientific, and Technical Services",252031,"Secondary School Teachers, Except Special and Career/Technical Education",100,"54,930"
99,U.S.,1,61,Educational Services,252021,"Elementary School Teachers, Except Special Education",1374070,"54,930"
99,U.S.,1,61,Educational Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",629150,"55,900"
99,U.S.,1,61,Educational Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",955300,"57,230"
99,U.S.,1,62,Health Care and Social Assistance,252021,"Elementary School Teachers, Except Special Education",1080,"37,740"
99,U.S.,1,62,Health Care and Social Assistance,252022,"Middle School Teachers, Except Special and Career/Technical Education",380,"48,890"
99,U.S.,1,62,Health Care and Social Assistance,252031,"Secondary School Teachers, Except Special and Career/Technical Education",1450,"45,580"
99,U.S.,1,81,Other Services (except Public Administration),252021,"Elementary School Teachers, Except Special Education",2550,"43,670"
99,U.S.,1,81,Other Services (except Public Administration),252022,"Middle School Teachers, Except Special and Career/Technical Education",410,"53,310"
99,U.S.,1,81,Other Services (except Public Administration),252031,"Secondary School Teachers, Except Special and Career/Technical Education",1180,"63,270"
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",252021,"Elementary School Teachers, Except Special Education",600,"53,110"
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",252022,"Middle School Teachers, Except Special and Career/Technical Education",100,"58,940"
99,U.S.,1,541000,"Professional, Scientific, and Technical Services",252031,"Secondary School Teachers, Except Special and Career/Technical Education",100,"54,930"
99,U.S.,1,541600,"Management, Scientific, and Technical Consulting Services",252031,"Secondary School Teachers, Except Special and Career/Technical Education",90,"55,870"
99,U.S.,1,611000,Educational Services,252021,"Elementary School Teachers, Except Special Education",1374070,"54,930"
99,U.S.,1,611000,"Educational Services, Privately owned",252021,"Elementary School Teachers, Except Special Education",142440,"44,410"
99,U.S.,1,611000,"Educational Services, Local government owned",252021,"Elementary School Teachers, Except Special Education",1221450,"56,070"
99,U.S.,1,611000,"Educational Services, State government owned",252021,"Elementary School Teachers, Except Special Education",10180,"55,990"
99,U.S.,1,611000,Educational Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",629150,"55,900"
