area,area_title,area_type,naics,naics_title,occ_code,occ_title,tot_emp,a_median
99,U.S.,1,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",1360380,"53,400"
99,U.S.,1,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",620900,"53,430"
99,U.S.,1,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",959770,"55,050"
99,U.S.,1,000001,"Cross-industry, private ownership only",252021,"Elementary School Teachers, Except Special Education",130330,"42,030"
99,U.S.,1,000001,"Cross-industry, private ownership only",252022,"Middle School Teachers, Except Special and Career/Technical Education",54470,"45,940"
99,U.S.,1,000001,"Cross-industry, private ownership only",252031,"Secondary School Teachers, Except Special and Career/Technical Education",106680,"48,690"
99,U.S.,1,61,"Sector 61 - Educational Services (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",1350480,"53,430"
99,U.S.,1,61,"Sector 61 - Educational Services (including private, state, and local government schools)",252022,"Middle School Teachers, Except Special and Career/Technical Education",617300,"53,440"
99,U.S.,1,61,"Sector 61 - Educational Services (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",952280,"55,080"
99,U.S.,1,62,"Sector 62 - Health Care and Social Assistance (including private, state, and local government hospitals)",252021,"Elementary School Teachers, Except Special Education",1050,"45,430"
99,U.S.,1,62,"Sector 62 - Health Care and Social Assistance (including private, state, and local government hospitals)",252022,"Middle School Teachers, Except Special and Career/Technical Education",460,"42,090"
99,U.S.,1,62,"Sector 62 - Health Care and Social Assistance (including private, state, and local government hospitals)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1370,"45,250"
99,U.S.,1,81,"Sector 81 - Other Services (except Federal, State, and Local Government)",252021,"Elementary School Teachers, Except Special Education",2180,"42,350"
99,U.S.,1,81,"Sector 81 - Other Services (except Federal, State, and Local Government)",252022,"Middle School Teachers, Except Special and Career/Technical Education",240,"51,360"
99,U.S.,1,81,"Sector 81 - Other Services (except Federal, State, and Local Government)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",240,"54,780"
99,U.S.,1,99,"Sector 99 - Federal, State, and Local Government (OES Designation)",252021,"Elementary School Teachers, Except Special Education",520,"52,450"
99,U.S.,1,99,"Sector 99 - Federal, State, and Local Government (OES Designation)",252022,"Middle School Teachers, Except Special and Career/Technical Education",140,"48,580"
99,U.S.,1,99,"Sector 99 - Federal, State, and Local Government (OES Designation)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",3010,"48,500"
99,U.S.,1,611000,"Educational Services, State government owned",252021,"Elementary School Teachers, Except Special Education",7570,"58,070"
99,U.S.,1,611000,"Educational Services, State government owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",2240,"55,170"
99,U.S.,1,611000,"Educational Services, State government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",5560,"52,930"
99,U.S.,1,611000,"Educational Services, Local government owned",252021,"Elementary School Teachers, Except Special Education",1221940,"54,530"
99,U.S.,1,611000,"Educational Services, Local government owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",564050,"54,050"
99,U.S.,1,611000,"Educational Services, Local government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",844490,"55,740"
99,U.S.,1,611000,"Educational Services, Privately owned",252021,"Elementary School Teachers, Except Special Education",120970,"41,560"
99,U.S.,1,611000,"Educational Services, Privately owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",51010,"45,670"
99,U.S.,1,611000,"Educational Services, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",102230,"48,640"
99,U.S.,1,611000,"Educational Services (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",1350480,"53,430"
99,U.S.,1,611000,"Educational Services (including private, state, and local government schools)",252022,"Middle School Teachers, Except Special and Career/Technical Education",617300,"53,440"
99,U.S.,1,611000,"Educational Services (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",952280,"55,080"
99,U.S.,1,611100,"Elementary and Secondary Schools, State government owned",252021,"Elementary School Teachers, Except Special Education",7430,"58,270"
99,U.S.,1,611100,"Elementary and Secondary Schools, State government owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",2210,"55,240"
99,U.S.,1,611100,"Elementary and Secondary Schools, State government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",5180,"53,500"
99,U.S.,1,611100,"Elementary and Secondary Schools, Local government owned",252021,"Elementary School Teachers, Except Special Education",1221860,"54,520"
99,U.S.,1,611100,"Elementary and Secondary Schools, Local government owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",564050,"54,050"
99,U.S.,1,611100,"Elementary and Secondary Schools, Local government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",844280,"55,740"
99,U.S.,1,611100,"Elementary and Secondary Schools, Privately owned",252021,"Elementary School Teachers, Except Special Education",119950,"41,560"
99,U.S.,1,611100,"Elementary and Secondary Schools, Privately owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",50900,"45,650"
99,U.S.,1,611100,"Elementary and Secondary Schools, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",100980,"48,720"
99,U.S.,1,611100,"Elementary and Secondary Schools (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",1349240,"53,440"
99,U.S.,1,611100,"Elementary and Secondary Schools (including private, state, and local government schools)",252022,"Middle School Teachers, Except Special and Career/Technical Education",617160,"53,440"
99,U.S.,1,611100,"Elementary and Secondary Schools (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",950440,"55,100"
99,U.S.,1,611300,"Colleges, universities, and professional schools, State government owned",252021,"Elementary School Teachers, Except Special Education",140,"43,320"
99,U.S.,1,611300,"Colleges, universities, and professional schools, State government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1,"46,080"
99,U.S.,1,611300,"Colleges, universities, and professional schools, Privately owned",252021,"Elementary School Teachers, Except Special Education",1,"49,800"
99,U.S.,1,611300,"Colleges, universities, and professional schools, Privately owned",252022,"Middle School Teachers, Except Special and Career/Technical Education",80,"58,120"
99,U.S.,1,611300,"Colleges, universities, and professional schools, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",760,"43,200"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",300,"48,550"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools (including private, state, and local government schools)",252022,"Middle School Teachers, Except Special and Career/Technical Education",110,"54,260"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1170,"44,930"
99,U.S.,1,611600,"Other schools and instruction, Privately owned",252021,"Elementary School Teachers, Except Special Education",1,"37,650"
99,U.S.,1,611600,"Other schools and instruction, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",320,"49,500"
99,U.S.,1,611600,"Other Schools and Instruction (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",440,"37,840"
99,U.S.,1,611600,"Other Schools and Instruction (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",320,"49,500"
99,U.S.,1,611700,"Educational Support Services, Local government owned",252021,"Elementary School Teachers, Except Special Education",40,"49,870"
99,U.S.,1,611700,"Educational Support Services, Local government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",140,"48,490"
99,U.S.,1,611700,"Educational Support Services, Privately owned",252021,"Elementary School Teachers, Except Special Education",460,"43,710"
99,U.S.,1,611700,"Educational Support Services, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",150,"42,630"
99,U.S.,1,611700,"Educational Support Services (including private, state, and local government schools)",252021,"Elementary School Teachers, Except Special Education",500,"44,170"
99,U.S.,1,611700,"Educational Support Services (including private, state, and local government schools)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",290,"45,920"
99,U.S.,1,621000,Ambulatory Health Care Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",1,"44,780"
99,U.S.,1,621400,Outpatient Care Centers,252031,"Secondary School Teachers, Except Special and Career/Technical Education",40,"44,720"
99,U.S.,1,621420,Outpatient Mental Health and Substance Abuse Centers,252031,"Secondary School Teachers, Except Special and Career/Technical Education",40,"44,720"
99,U.S.,1,622000,"Hospitals, Privately owned",252021,"Elementary School Teachers, Except Special Education",50,"44,780"
99,U.S.,1,622000,"Hospitals, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",100,"46,640"
99,U.S.,1,622000,"Hospitals (including private, state, and local government hospitals)",252021,"Elementary School Teachers, Except Special Education",70,"50,510"
99,U.S.,1,622000,"Hospitals (including private, state, and local government hospitals)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1,"49,550"
99,U.S.,1,622100,"General Medical and Surgical Hospitals, Privately owned",252021,"Elementary School Teachers, Except Special Education",30,"47,210"
99,U.S.,1,622100,"General Medical and Surgical Hospitals (including private, state, and local government hospitals)",252021,"Elementary School Teachers, Except Special Education",50,"53,240"
99,U.S.,1,622200,"Psychiatric and Substance Abuse Hospitals, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",90,"45,050"
99,U.S.,1,622200,"Psychiatric and Substance Abuse Hospitals (including private, state, and local government hospitals)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",110,"47,940"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252021,"Elementary School Teachers, Except Special Education",120,"44,810"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252022,"Middle School Teachers, Except Special and Career/Technical Education",150,"44,920"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",800,"45,450"
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1,"42,060"
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",1,"42,090"
99,U.S.,1,623900,Other Residential Care Facilities,252021,"Elementary School Teachers, Except Special Education",90,"44,390"
99,U.S.,1,623900,Other Residential Care Facilities,252022,"Middle School Teachers, Except Special and Career/Technical Education",130,"46,310"
99,U.S.,1,623900,Other Residential Care Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",560,"47,470"
99,U.S.,1,624000,Social Assistance,252021,"Elementary School Teachers, Except Special Education",850,"45,220"
99,U.S.,1,624000,Social Assistance,252022,"Middle School Teachers, Except Special and Career/Technical Education",300,"41,070"
99,U.S.,1,624000,Social Assistance,252031,"Secondary School Teachers, Except Special and Career/Technical Education",410,"44,390"
99,U.S.,1,624100,Individual and Family Services,252021,"Elementary School Teachers, Except Special Education",500,"44,960"
99,U.S.,1,624100,Individual and Family Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",290,"41,320"
99,U.S.,1,624100,Individual and Family Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",310,"45,580"
99,U.S.,1,624300,Vocational Rehabilitation Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",100,"42,200"
99,U.S.,1,624400,Child Day Care Services,252021,"Elementary School Teachers, Except Special Education",320,"45,620"
