area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,54,"Professional, Scientific, and Technical Services",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",100,54930
99,U.S.,1,55,Management of Companies and Enterprises,25-2051,"Special Education Teachers, Preschool",40,35890
99,U.S.,1,55,Management of Companies and Enterprises,25-2059,"Special Education Teachers, All Other",70,31150
99,U.S.,1,62,Health Care and Social Assistance,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",380,48890
99,U.S.,1,62,Health Care and Social Assistance,25-2032,"Career/Technical Education Teachers, Secondary School",100,42710
99,U.S.,1,62,Health Care and Social Assistance,25-2051,"Special Education Teachers, Preschool",8360,48110
99,U.S.,1,81,Other Services (except Public Administration),25-2012,"Kindergarten Teachers, Except Special Education",220,41260
99,U.S.,1,81,Other Services (except Public Administration),25-2059,"Special Education Teachers, All Other",310,95410
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",100,58940
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",25-2032,"Career/Technical Education Teachers, Secondary School",1600,30960
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",25-2051,"Special Education Teachers, Preschool",470,50450
99,U.S.,1,99,"Federal, State, and Local Government (excluding state and local schools and hospitals)",25-2053,"Special Education Teachers, Middle School",150,61370
99,U.S.,1,541000,"Professional, Scientific, and Technical Services",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",100,54930
99,U.S.,1,541500,Computer Systems Design and Related Services,25-2011,"Preschool Teachers, Except Special Education",120,37100
99,U.S.,1,541600,"Management, Scientific, and Technical Consulting Services",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",90,55870
99,U.S.,1,541700,Scientific Research and Development Services,25-2011,"Preschool Teachers, Except Special Education",110,28220
